"algo","PA","run","TSS","species","AUC","species_original","n_occ"
"RF","PA1","RUN1",0.583,"AcartiaAcanthacartiatonsa",0.868,"acartia_tonsa",257
"MAXNET","PA1","RUN1",0.537,"AcartiaAcanthacartiatonsa",0.831,"acartia_tonsa",257
"MARS","PA1","RUN1",0.427,"AcartiaAcanthacartiatonsa",0.777,"acartia_tonsa",257
"GAM","PA1","RUN1",0.512,"AcartiaAcanthacartiatonsa",0.818,"acartia_tonsa",257
"XGBOOST","PA1","RUN1",0.499,"AcartiaAcanthacartiatonsa",0.795,"acartia_tonsa",257
"RF","PA1","RUN2",0.453,"AcartiaAcanthacartiatonsa",0.855,"acartia_tonsa",257
"MAXNET","PA1","RUN2",0.496,"AcartiaAcanthacartiatonsa",0.851,"acartia_tonsa",257
"MARS","PA1","RUN2",0.502,"AcartiaAcanthacartiatonsa",0.786,"acartia_tonsa",257
"GAM","PA1","RUN2",0.471,"AcartiaAcanthacartiatonsa",0.83,"acartia_tonsa",257
"XGBOOST","PA1","RUN2",0.47,"AcartiaAcanthacartiatonsa",0.817,"acartia_tonsa",257
"RF","PA1","RUN3",0.446,"AcartiaAcanthacartiatonsa",0.863,"acartia_tonsa",257
"MAXNET","PA1","RUN3",0.375,"AcartiaAcanthacartiatonsa",0.857,"acartia_tonsa",257
"MARS","PA1","RUN3",0.434,"AcartiaAcanthacartiatonsa",0.83,"acartia_tonsa",257
"GAM","PA1","RUN3",0.54,"AcartiaAcanthacartiatonsa",0.83,"acartia_tonsa",257
"XGBOOST","PA1","RUN3",0.39,"AcartiaAcanthacartiatonsa",0.791,"acartia_tonsa",257
"RF","PA1","RUN4",0.536,"AcartiaAcanthacartiatonsa",0.875,"acartia_tonsa",257
"MAXNET","PA1","RUN4",0.612,"AcartiaAcanthacartiatonsa",0.858,"acartia_tonsa",257
"MARS","PA1","RUN4",0.464,"AcartiaAcanthacartiatonsa",0.825,"acartia_tonsa",257
"GAM","PA1","RUN4",0.553,"AcartiaAcanthacartiatonsa",0.839,"acartia_tonsa",257
"XGBOOST","PA1","RUN4",0.515,"AcartiaAcanthacartiatonsa",0.802,"acartia_tonsa",257
"RF","PA1","RUN5",0.589,"AcartiaAcanthacartiatonsa",0.903,"acartia_tonsa",257
"MAXNET","PA1","RUN5",0.498,"AcartiaAcanthacartiatonsa",0.866,"acartia_tonsa",257
"MARS","PA1","RUN5",0.492,"AcartiaAcanthacartiatonsa",0.812,"acartia_tonsa",257
"GAM","PA1","RUN5",0.506,"AcartiaAcanthacartiatonsa",0.842,"acartia_tonsa",257
"XGBOOST","PA1","RUN5",0.499,"AcartiaAcanthacartiatonsa",0.82,"acartia_tonsa",257
"RF","PA1","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MAXNET","PA1","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MARS","PA1","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"GAM","PA1","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"XGBOOST","PA1","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"RF","PA2","RUN1",0.661,"AcartiaAcanthacartiatonsa",0.907,"acartia_tonsa",257
"MAXNET","PA2","RUN1",0.602,"AcartiaAcanthacartiatonsa",0.846,"acartia_tonsa",257
"MARS","PA2","RUN1",0.668,"AcartiaAcanthacartiatonsa",0.869,"acartia_tonsa",257
"GAM","PA2","RUN1",0.492,"AcartiaAcanthacartiatonsa",0.833,"acartia_tonsa",257
"XGBOOST","PA2","RUN1",0.466,"AcartiaAcanthacartiatonsa",0.828,"acartia_tonsa",257
"RF","PA2","RUN2",0.466,"AcartiaAcanthacartiatonsa",0.845,"acartia_tonsa",257
"MAXNET","PA2","RUN2",0.434,"AcartiaAcanthacartiatonsa",0.829,"acartia_tonsa",257
"MARS","PA2","RUN2",0.376,"AcartiaAcanthacartiatonsa",0.784,"acartia_tonsa",257
"GAM","PA2","RUN2",0.44,"AcartiaAcanthacartiatonsa",0.81,"acartia_tonsa",257
"XGBOOST","PA2","RUN2",0.349,"AcartiaAcanthacartiatonsa",0.802,"acartia_tonsa",257
"RF","PA2","RUN3",0.635,"AcartiaAcanthacartiatonsa",0.926,"acartia_tonsa",257
"MAXNET","PA2","RUN3",0.688,"AcartiaAcanthacartiatonsa",0.918,"acartia_tonsa",257
"MARS","PA2","RUN3",0.695,"AcartiaAcanthacartiatonsa",0.892,"acartia_tonsa",257
"GAM","PA2","RUN3",0.663,"AcartiaAcanthacartiatonsa",0.908,"acartia_tonsa",257
"XGBOOST","PA2","RUN3",0.668,"AcartiaAcanthacartiatonsa",0.892,"acartia_tonsa",257
"RF","PA2","RUN4",0.594,"AcartiaAcanthacartiatonsa",0.891,"acartia_tonsa",257
"MAXNET","PA2","RUN4",0.542,"AcartiaAcanthacartiatonsa",0.852,"acartia_tonsa",257
"MARS","PA2","RUN4",0.529,"AcartiaAcanthacartiatonsa",0.856,"acartia_tonsa",257
"GAM","PA2","RUN4",0.491,"AcartiaAcanthacartiatonsa",0.834,"acartia_tonsa",257
"XGBOOST","PA2","RUN4",0.555,"AcartiaAcanthacartiatonsa",0.843,"acartia_tonsa",257
"RF","PA2","RUN5",0.596,"AcartiaAcanthacartiatonsa",0.872,"acartia_tonsa",257
"MAXNET","PA2","RUN5",0.511,"AcartiaAcanthacartiatonsa",0.847,"acartia_tonsa",257
"MARS","PA2","RUN5",0.472,"AcartiaAcanthacartiatonsa",0.828,"acartia_tonsa",257
"GAM","PA2","RUN5",0.48,"AcartiaAcanthacartiatonsa",0.824,"acartia_tonsa",257
"XGBOOST","PA2","RUN5",0.531,"AcartiaAcanthacartiatonsa",0.843,"acartia_tonsa",257
"RF","PA2","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MAXNET","PA2","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MARS","PA2","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"GAM","PA2","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"XGBOOST","PA2","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"RF","PA3","RUN1",0.484,"AcartiaAcanthacartiatonsa",0.851,"acartia_tonsa",257
"MAXNET","PA3","RUN1",0.387,"AcartiaAcanthacartiatonsa",0.807,"acartia_tonsa",257
"MARS","PA3","RUN1",0.381,"AcartiaAcanthacartiatonsa",0.795,"acartia_tonsa",257
"GAM","PA3","RUN1",0.296,"AcartiaAcanthacartiatonsa",0.762,"acartia_tonsa",257
"XGBOOST","PA3","RUN1",0.407,"AcartiaAcanthacartiatonsa",0.743,"acartia_tonsa",257
"RF","PA3","RUN2",0.492,"AcartiaAcanthacartiatonsa",0.895,"acartia_tonsa",257
"MAXNET","PA3","RUN2",0.58,"AcartiaAcanthacartiatonsa",0.909,"acartia_tonsa",257
"MARS","PA3","RUN2",0.529,"AcartiaAcanthacartiatonsa",0.883,"acartia_tonsa",257
"GAM","PA3","RUN2",0.657,"AcartiaAcanthacartiatonsa",0.899,"acartia_tonsa",257
"XGBOOST","PA3","RUN2",0.529,"AcartiaAcanthacartiatonsa",0.884,"acartia_tonsa",257
"RF","PA3","RUN3",0.74,"AcartiaAcanthacartiatonsa",0.937,"acartia_tonsa",257
"MAXNET","PA3","RUN3",0.683,"AcartiaAcanthacartiatonsa",0.917,"acartia_tonsa",257
"MARS","PA3","RUN3",0.65,"AcartiaAcanthacartiatonsa",0.89,"acartia_tonsa",257
"GAM","PA3","RUN3",0.625,"AcartiaAcanthacartiatonsa",0.895,"acartia_tonsa",257
"XGBOOST","PA3","RUN3",0.546,"AcartiaAcanthacartiatonsa",0.86,"acartia_tonsa",257
"RF","PA3","RUN4",0.524,"AcartiaAcanthacartiatonsa",0.873,"acartia_tonsa",257
"MAXNET","PA3","RUN4",0.581,"AcartiaAcanthacartiatonsa",0.855,"acartia_tonsa",257
"MARS","PA3","RUN4",0.523,"AcartiaAcanthacartiatonsa",0.824,"acartia_tonsa",257
"GAM","PA3","RUN4",0.496,"AcartiaAcanthacartiatonsa",0.82,"acartia_tonsa",257
"XGBOOST","PA3","RUN4",0.515,"AcartiaAcanthacartiatonsa",0.837,"acartia_tonsa",257
"RF","PA3","RUN5",0.465,"AcartiaAcanthacartiatonsa",0.867,"acartia_tonsa",257
"MAXNET","PA3","RUN5",0.55,"AcartiaAcanthacartiatonsa",0.862,"acartia_tonsa",257
"MARS","PA3","RUN5",0.537,"AcartiaAcanthacartiatonsa",0.835,"acartia_tonsa",257
"GAM","PA3","RUN5",0.55,"AcartiaAcanthacartiatonsa",0.835,"acartia_tonsa",257
"XGBOOST","PA3","RUN5",0.42,"AcartiaAcanthacartiatonsa",0.796,"acartia_tonsa",257
"RF","PA3","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MAXNET","PA3","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MARS","PA3","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"GAM","PA3","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"XGBOOST","PA3","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"RF","allData","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MAXNET","allData","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"MARS","allData","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"GAM","allData","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"XGBOOST","allData","allRun",NA,"AcartiaAcanthacartiatonsa",NA,"acartia_tonsa",257
"RF","PA1","RUN1",0.656,"Amphibalanusamphitrite",0.921,"amphibalanus_amphitrite",178
"MAXNET","PA1","RUN1",0.665,"Amphibalanusamphitrite",0.914,"amphibalanus_amphitrite",178
"MARS","PA1","RUN1",0.647,"Amphibalanusamphitrite",0.888,"amphibalanus_amphitrite",178
"GAM","PA1","RUN1",0.61,"Amphibalanusamphitrite",0.885,"amphibalanus_amphitrite",178
"XGBOOST","PA1","RUN1",0.61,"Amphibalanusamphitrite",0.903,"amphibalanus_amphitrite",178
"RF","PA1","RUN2",0.707,"Amphibalanusamphitrite",0.939,"amphibalanus_amphitrite",178
"MAXNET","PA1","RUN2",0.736,"Amphibalanusamphitrite",0.936,"amphibalanus_amphitrite",178
"MARS","PA1","RUN2",0.709,"Amphibalanusamphitrite",0.923,"amphibalanus_amphitrite",178
"GAM","PA1","RUN2",0.765,"Amphibalanusamphitrite",0.926,"amphibalanus_amphitrite",178
"XGBOOST","PA1","RUN2",0.652,"Amphibalanusamphitrite",0.931,"amphibalanus_amphitrite",178
"RF","PA1","RUN3",0.776,"Amphibalanusamphitrite",0.935,"amphibalanus_amphitrite",178
"MAXNET","PA1","RUN3",0.767,"Amphibalanusamphitrite",0.927,"amphibalanus_amphitrite",178
"MARS","PA1","RUN3",0.748,"Amphibalanusamphitrite",0.924,"amphibalanus_amphitrite",178
"GAM","PA1","RUN3",0.748,"Amphibalanusamphitrite",0.91,"amphibalanus_amphitrite",178
"XGBOOST","PA1","RUN3",0.803,"Amphibalanusamphitrite",0.944,"amphibalanus_amphitrite",178
"RF","PA1","RUN4",0.649,"Amphibalanusamphitrite",0.921,"amphibalanus_amphitrite",178
"MAXNET","PA1","RUN4",0.726,"Amphibalanusamphitrite",0.95,"amphibalanus_amphitrite",178
"MARS","PA1","RUN4",0.661,"Amphibalanusamphitrite",0.903,"amphibalanus_amphitrite",178
"GAM","PA1","RUN4",0.67,"Amphibalanusamphitrite",0.904,"amphibalanus_amphitrite",178
"XGBOOST","PA1","RUN4",0.745,"Amphibalanusamphitrite",0.941,"amphibalanus_amphitrite",178
"RF","PA1","RUN5",0.731,"Amphibalanusamphitrite",0.92,"amphibalanus_amphitrite",178
"MAXNET","PA1","RUN5",0.712,"Amphibalanusamphitrite",0.936,"amphibalanus_amphitrite",178
"MARS","PA1","RUN5",0.703,"Amphibalanusamphitrite",0.934,"amphibalanus_amphitrite",178
"GAM","PA1","RUN5",0.703,"Amphibalanusamphitrite",0.92,"amphibalanus_amphitrite",178
"XGBOOST","PA1","RUN5",0.712,"Amphibalanusamphitrite",0.916,"amphibalanus_amphitrite",178
"RF","PA1","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MAXNET","PA1","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"MARS","PA1","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"GAM","PA1","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"XGBOOST","PA1","allRun",NA,"Amphibalanusamphitrite",NA,"amphibalanus_amphitrite",178
"RF","PA2","RUN1",0.666,"Amphibalanusamphitrite",0.946,"amphibalanus_amphitrite",178
"MAXNET","PA2","RUN1",0.712,"Amphibalanusamphitrite",0.949,"amphibalanus_amphitrite",178
"MARS","PA2","RUN1",0.703,"Amphibalanusamphitrite",0.952,"amphibalanus_amphitrite",178
"GAM","PA2","RUN1",0.749,"Amphibalanusamphitrite",0.943,"amphibalanus_amphitrite",178
"XGBOOST","PA2","RUN1",0.74,"Amphibalanusamphitrite",0.951,"amphibalanus_amphitrite",178
"RF","PA2","RUN2",0.63,"Amphibalanusamphitrite",0.917,"amphibalanus_amphitrite",178
